headline,subhead,byline,url,article_type,premium,image_url
"Poll: Le Pen begins presidential campaign in strongest position ever amid worried, angry electorate","In France's polarized political landscape, Marine Le Pen of the far-right Rassemblement National is enjoying unprecedented support, and radical left candidate Jean-Luc Mélenchon is building a strong base. Wide open for other candidates, the race is drawing significant interest from voters concerned about the future, Le Monde's first poll shows.",Unknown,https://www.lemonde.fr/en/politics/article/2026/09/13/2027-presidential-election-le-pen-begins-campaign-in-strongest-position-ever-amid-worried-angry-electorate_6757478_5.html,,True,https://img.lemde.fr/2026/09/13/0/0/1801/1200/400/266/75/0/c581100_upload-1-d4128sjzhbut-cevipof-sept2026-lmiappel-1.png
"'When you're that sick, you reflect on the values that matter most': Sweden's Birgitta Ohlsson returns to fight the far right",,Unknown,https://www.lemonde.fr/en/m-le-mag/article/2026/09/13/when-you-re-that-sick-you-reflect-on-the-values-that-matter-most-sweden-s-birgitta-ohlsson-returns-to-fight-the-far-right_6757468_117.html,,True,https://img.lemde.fr/2026/09/08/0/1/1498/999/398/265/75/0/3ff2b47_ftp-1-x4ir0n5fhips-441656-3495799.jpg
Sweden's election too close to call as far right loses ground,,Unknown,https://www.lemonde.fr/en/international/article/2026/09/13/sweden-s-election-too-close-to-call-as-far-right-loses-ground_6757483_4.html,,False,https://img.lemde.fr/2026/09/13/0/0/5623/3749/398/265/75/0/07d4036_ftp-1-m5gpmhd2arrj-2026-09-13t181615z-1924548119-rc2iinay6qpc-rtrmadp-3-sweden-election.JPG
Political scientist Julia Reuschenbach: 'I do not see Chancellor Friedrich Merz resigning',"Following the Alternative for Germany (AfD) victory in Saxony-Anhalt on September 6, pressure is mounting on Chancellor Friedrich Merz's party, the Christian Democratic Union (CDU), to ease its policy of excluding the far right. Doing so would be a strategic mistake, says political scientist Julia Reuschenbach, who argues that the AfD's goal is to destroy the CDU.",Unknown,https://www.lemonde.fr/en/international/article/2026/09/13/political-scientist-julia-reuschenbach-i-do-not-see-chancellor-friedrich-merz-resigning_6757482_4.html,,True,https://img.lemde.fr/2026/09/07/0/47/5260/3507/398/265/75/0/192521d_ftp-1-bvzddt1auutj-2026-09-07t115622z-207611451-rc2benay6exb-rtrmadp-3-germany-election-saxony-anhalt-cdu-reaction.JPG
"US wins fifth straight women's FIBA World Cup title, beating France 97-79","The US team overcame a rocky start and dominated the second half of the game,  extending the Americans' streak to 36 straight World Cup wins.",Unknown,https://www.lemonde.fr/en/sports/article/2026/09/13/us-wins-fifth-straight-women-s-fiba-world-cup-title-beating-france-97-79_6757481_9.html,,False,https://img.lemde.fr/2026/09/13/148/0/5047/3364/398/265/75/0/fddbd15_ftp-1-vue7kuyfasqx-2026-09-13t193446z-701962537-up1em9d1idwt7-rtrmadp-3-basketball-worldcup-usa-fra.JPG
Venice Film Festival: May el-Toukhy's 'Woman Unknown' wins Golden Lion at politically charged edition,"The Danish-Egyptian director paid tribute to 'invisible and voiceless women.' Ilia Khrjanovski dedicated his Silver Lion 'to Ukrainians fighting for freedom,' while Israeli filmmakers Yuval Abraham and Rachel Szor received the Special Jury Prize for their documentary about civilians killed by the Israeli army in Gaza.",Unknown,https://www.lemonde.fr/en/culture/article/2026/09/13/venice-film-festival-may-el-toukhy-s-woman-unknown-wins-golden-lion-at-politically-charged-edition_6757474_30.html,,True,https://img.lemde.fr/2026/09/12/0/0/5295/3530/398/265/75/0/49683cf_ftp-1-btgr1h5rwquy-b8292ba8872f48e19e9f15ecf1fb5630-0-3fe2782380a746d18fc9541444e41358.jpg
Trump seeks to play peacemaker in a divided Libya,"After 15 years of keeping a low profile on Libya, Washington now wants to reconcile the rival authorities in the country's east and west by brokering a power-sharing agreement negotiated among a handful of local warlords. Far from calming the nation, this initiative has triggered a frantic reshuffling of power dynamics and exposed the fragility of alliances on both sides.",Frédéric Bobin,https://www.lemonde.fr/en/le-monde-africa/article/2026/09/13/trump-seeks-to-play-peacemaker-in-a-divided-libya_6757479_124.html,In Depth,True,https://img.lemde.fr/2020/05/27/0/315/3402/2268/664/442/75/0/14427b6_vaABfy1qB7sgOmRJy1zgtQrw.jpg
"Poland, Ukraine slam Russian strikes near border as 'escalation'",,Unknown,https://www.lemonde.fr/en/international/article/2026/09/13/poland-ukraine-slam-russian-strikes-near-border-as-escalation_6757480_4.html,,False,https://img.lemde.fr/2026/09/13/0/0/1999/1333/198/132/95/0/54e1f84_ftp-1-36wflke1j1xu-737b623b19f147bba48d599d4343a243-0-5101bd3de3764de189ccfbdef6a81625.jpg
Le Pen pledges to put French citizens first at presidential campaign launch,,Unknown,https://www.lemonde.fr/en/france/article/2026/09/13/le-pen-pledges-to-put-french-citizens-first-at-presidential-campaign-launch_6757475_7.html,,False,https://img.lemde.fr/2026/09/13/1/0/8192/5461/198/132/95/0/a98c9ed_ftp-1-zbwx0a3u1hm1-df354409a64a4c20b890d34ec0232581-0-7ccdf7ecdcde47c1889263099a041d36.jpg
2027 presidential election: Raphaël Glucksmann touts his 'environmental revolution' candidacy,,Unknown,https://www.lemonde.fr/en/les-decodeurs/article/2026/09/13/2027-presidential-election-raphael-glucksmann-touts-his-environmental-revolution-candidacy_6757473_8.html,,True,https://img.lemde.fr/2026/08/23/0/0/6585/4390/198/132/95/0/4bef334_ftp-1-cztew9mq9ev0-5906047-01-06.jpg
